primeval	primitif, primordial
in the act of	en train de
prey	proie
pondered	réfléchir profondément
succeeded in	réussir à
masterpiece	chef-d'œuvre
grown-ups	adultes
response	réponse
lay aside	mettre de côté
devote myself to	se consacrer à
disheartened	découragé
failure	échec
tiresome	ennuyeux, fastidieux
pilot	piloter
distinguish	distinguer
gets lost	se perdre
valuable	précieux
In the course of	au cours de
encounters	rencontres
matters of consequence	affaires importantes
intimately	intimement
close at hand	de près, à portée de main
clear-sighted	lucide, perspicace
understanding	compréhension
bring myself down to his level	se mettre à son niveau
sensible	sensé, raisonnable
